Feature,SHAP_Importance
alcohol,0.07709829924150084
proline,0.06655366086609531
flavanoids,0.06373987461480507
od280/od315_of_diluted_wines,0.05664434396668181
hue,0.056478613017724034
color_intensity,0.04119027423175839
alcalinity_of_ash,0.041184326930847684
proanthocyanins,0.036885325108105896
ash,0.03278373188729902
total_phenols,0.019173545564722314
malic_acid,0.0119419058007073
nonflavanoid_phenols,0.011540743654508264
magnesium,0.010294636907551643
